timestamp,light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door
05-06-24 07:27,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:28,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:29,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:30,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:31,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:32,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:33,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:34,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:35,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:36,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:37,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:38,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:39,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:40,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:41,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:42,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:43,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:43,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:44,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:45,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:46,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:47,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:48,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:49,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:50,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:51,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:52,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:53,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 07:54,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 07:55,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 07:56,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 07:57,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 07:58,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 07:59,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:00,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:00,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:01,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:02,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:03,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:04,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:05,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:06,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:07,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:08,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:09,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:10,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:11,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:12,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:13,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:14,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:15,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:16,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:17,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:18,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:18,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:19,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:20,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:21,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:22,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:23,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:24,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:25,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:26,0,0,0,0,0,0,0,308,328,0,3,1
05-06-24 08:27,0,0,0,0,0,0,0,308,332,0,3,1
05-06-24 08:28,0,0,0,0,0,0,0,308,332,0,3,1
05-06-24 08:29,0,0,0,0,0,0,0,308,332,0,3,1
05-06-24 08:30,0,0,0,0,0,0,0,308,336,0,3,1
05-06-24 08:31,0,0,0,0,0,0,0,308,336,0,3,1
05-06-24 08:32,0,0,0,0,0,0,0,308,336,0,3,1
05-06-24 08:33,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:34,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:35,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:35,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:36,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:37,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:38,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:39,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:40,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:41,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:42,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:43,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:44,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:45,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:46,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:47,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:48,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:49,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:50,0,0,0,0,0,0,0,308,339,0,3,1
05-06-24 08:51,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 08:52,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 08:52,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 08:53,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 08:54,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 08:55,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 08:56,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 08:57,0,0,0,0,0,0,0,308,342,1,3,1
05-06-24 08:58,0,0,0,0,0,0,0,308,342,1,3,1
05-06-24 08:59,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 09:00,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 09:01,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 09:02,0,0,0,0,0,0,0,308,342,1,3,1
05-06-24 09:03,0,0,0,0,0,0,0,308,342,0,3,1
05-06-24 09:04,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:05,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:06,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:07,0,0,0,0,0,0,0,308,345,1,3,1
05-06-24 09:08,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:09,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:09,0,0,0,0,0,0,0,308,345,1,3,1
05-06-24 09:10,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:11,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:12,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:13,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:14,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:15,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:16,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:17,0,0,0,0,0,0,0,308,345,0,3,1
05-06-24 09:18,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:19,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:20,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:21,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:22,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:23,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:24,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:25,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:26,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:27,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:27,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:28,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:29,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:30,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:31,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:32,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:33,0,0,0,0,0,0,0,319,345,0,3,1
05-06-24 09:34,0,0,0,0,0,0,0,319,345,0,3,1
